rodrigo@hal ~/qc/python % python simon.py 
715/1000 N = 3.328212290502793
716/1000 N = 3.327754532775453
717/1000 N = 3.3272980501392757
718/1000 N = 3.3310152990264257
719/1000 N = 3.3291666666666666
720/1000 N = 3.3300970873786406
721/1000 N = 3.329639889196676
722/1000 N = 3.33195020746888
723/1000 N = 3.3301104972375692
724/1000 N = 3.3296551724137933
725/1000 N = 3.3292011019283745
726/1000 N = 3.3273727647867952
727/1000 N = 3.326923076923077
728/1000 N = 3.326474622770919
729/1000 N = 3.324657534246575
730/1000 N = 3.3242134062927495
731/1000 N = 3.3237704918032787
732/1000 N = 3.3219645293315145
733/1000 N = 3.3228882833787465
734/1000 N = 3.3224489795918366
735/1000 N = 3.3206521739130435
736/1000 N = 3.32157394843962
737/1000 N = 3.323848238482385
738/1000 N = 3.322056833558863
739/1000 N = 3.3202702702702704
740/1000 N = 3.3198380566801617
741/1000 N = 3.3194070080862534
742/1000 N = 3.3189771197846567
743/1000 N = 3.318548387096774
744/1000 N = 3.319463087248322
745/1000 N = 3.3203753351206435
746/1000 N = 3.318607764390897
747/1000 N = 3.3181818181818183
748/1000 N = 3.317757009345794
749/1000 N = 3.3186666666666667
750/1000 N = 3.322237017310253
751/1000 N = 3.3218085106382977
752/1000 N = 3.3227091633466137
753/1000 N = 3.3222811671087533
754/1000 N = 3.3205298013245033
755/1000 N = 3.3214285714285716
756/1000 N = 3.322324966974901
757/1000 N = 3.320580474934037
758/1000 N = 3.326745718050066
759/1000 N = 3.3289473684210527
760/1000 N = 3.3272010512483576
761/1000 N = 3.3307086614173227
762/1000 N = 3.331585845347313
763/1000 N = 3.329842931937173
764/1000 N = 3.330718954248366
765/1000 N = 3.328981723237598
766/1000 N = 3.3272490221642763
767/1000 N = 3.3268229166666665
768/1000 N = 3.3250975292587777
769/1000 N = 3.324675324675325
770/1000 N = 3.32295719844358
771/1000 N = 3.321243523316062
772/1000 N = 3.320827943078913
773/1000 N = 3.3217054263565893
774/1000 N = 3.321290322580645
775/1000 N = 3.320876288659794
776/1000 N = 3.3191763191763193
777/1000 N = 3.3174807197943443
778/1000 N = 3.3260590500641847
779/1000 N = 3.326923076923077
780/1000 N = 3.3265044814340587
781/1000 N = 3.3260869565217392
782/1000 N = 3.3269476372924647
783/1000 N = 3.3252551020408165
784/1000 N = 3.3235668789808916
785/1000 N = 3.3244274809160306
786/1000 N = 3.327827191867853
787/1000 N = 3.3286802030456855
788/1000 N = 3.326996197718631
789/1000 N = 3.3253164556962025
790/1000 N = 3.327433628318584
791/1000 N = 3.3257575757575757
792/1000 N = 3.326607818411097
793/1000 N = 3.3287153652392947
794/1000 N = 3.3270440251572326
795/1000 N = 3.3253768844221105
796/1000 N = 3.3237139272271015
797/1000 N = 3.3220551378446115
798/1000 N = 3.322903629536921
799/1000 N = 3.325
800/1000 N = 3.3245942571785267
801/1000 N = 3.3241895261845387
802/1000 N = 3.3250311332503113
803/1000 N = 3.3233830845771144
804/1000 N = 3.3217391304347825
805/1000 N = 3.3225806451612905
806/1000 N = 3.32094175960347
807/1000 N = 3.3193069306930694
808/1000 N = 3.3176761433868975
809/1000 N = 3.3160493827160495
810/1000 N = 3.315659679408138
811/1000 N = 3.3165024630541873
812/1000 N = 3.3148831488314885
813/1000 N = 3.3132678132678133
814/1000 N = 3.3141104294478527
815/1000 N = 3.314950980392157
816/1000 N = 3.313341493268054
817/1000 N = 3.312958435207824
818/1000 N = 3.312576312576313
819/1000 N = 3.3109756097560976
820/1000 N = 3.310596833130329
821/1000 N = 3.3114355231143553
822/1000 N = 3.309842041312272
823/1000 N = 3.3106796116504853
824/1000 N = 3.3115151515151515
825/1000 N = 3.311138014527845
826/1000 N = 3.311970979443773
827/1000 N = 3.3115942028985508
828/1000 N = 3.3148371531966223
829/1000 N = 3.3132530120481927
830/1000 N = 3.3116726835138386
831/1000 N = 3.311298076923077
832/1000 N = 3.312124849939976
833/1000 N = 3.3117505995203835
834/1000 N = 3.311377245508982
835/1000 N = 3.312200956937799
836/1000 N = 3.3130227001194745
837/1000 N = 3.31145584725537
838/1000 N = 3.3122765196662693
839/1000 N = 3.3154761904761907
840/1000 N = 3.316290130796671
841/1000 N = 3.315914489311164
842/1000 N = 3.3155397390272836
843/1000 N = 3.3139810426540284
844/1000 N = 3.3159763313609467
845/1000 N = 3.3156028368794326
846/1000 N = 3.3152302243211333
847/1000 N = 3.3148584905660377
